AsmSpec,EvoAvalla,Random,Atgt
ATM3v2,53747.9,87.2,0.0
Ascensore,81094.5,39.5,726.7
CashPoint,89449.6,41.0,0.0
Cassaforte,0.0,39.7,0.0
Certifier_nochoose_noundef,82866.3,62.1,4726.5
CoffeeVendingMachineNC,75788.2,13.0,0.0
Contatore_U_DA_H,75575.8,2.5,0.0
Dado,75920.7,10.6,0.0
Ferryman,76037.1,5.7,0.0
Forno,74619.6,14.0,393.4
LIFT,0.0,316.4,0.0
Phd_master_flat2_v1,84357.1,51.8,2623.5
Pillbox_1,78720.0,17.2,3469.2
RailroadGate,75205.2,2.7,0.0
RegistroDiCassav4,78510.8,8.6,0.0
SIS,0.0,42.4,861.2
SiGistica,77960.4,9.0,0.0
SmartHome,0.0,49.0,0.0
Stufa,76924.9,1.0,0.0
TrafficLightv2,75023.1,7.8,0.0
