asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios
Ascensore,1,6,7,evoavalla,78554,3,6,4,18,1.0,0.8333333,1.0,0
Ascensore,1,6,7,random,40,3,6,3,9,1.0,0.41666666,0.42857143,0
Ascensore,1,6,7,atgt,691,7,11,11,17,1.0,0.8333333,1.0,0
ATM3v2,10,21,17,evoavalla,86477,0,0,0,0,0.0,0.0,0.0,0
ATM3v2,10,21,17,random,53,5,25,24,79,0.6,0.2857143,0.1764706,0
CashPoint,5,7,7,evoavalla,80184,1,1,0,0,1.0,0.2857143,0.2857143,2
CashPoint,5,7,7,random,5,1,2,0,4,1.0,0.5,0.2857143,2
CoffeeVendingMachineNC,2,6,2,evoavalla,75548,4,4,3,32,1.0,0.75,1.0,0
CoffeeVendingMachineNC,2,6,2,random,5,4,8,5,14,1.0,0.41666666,1.0,0
CoffeeVendingMachineNC,2,6,2,atgt,832,7,47,71,108,1.0,1.0,1.0,0
Contatore_U_DA_H,5,4,4,evoavalla,74666,2,11,1,0,0.6,0.625,0.5,0
Contatore_U_DA_H,5,4,4,random,3,2,12,10,10,0.4,0.375,0.25,0
Contatore_U_DA_H,5,4,4,atgt,765,1,1001,1001,1111,1.0,1.0,1.0,0
Dado,1,4,9,evoavalla,74700,2,2,4,17,1.0,0.5,0.6666667,0
Dado,1,4,9,random,2,2,4,4,12,1.0,0.25,0.44444445,0
Ferryman,3,4,5,evoavalla,74303,1,3,1,20,1.0,0.5,0.4,1
Ferryman,3,4,5,random,2,1,0,0,0,0.0,0.0,0.0,1
GuessBigNumber,1,2,3,random,412,5,25,20,45,1.0,0.5,0.33333334,0
Integer_train,7,9,17,random,134,0,0,0,0,0.0,0.0,0.0,0
LGS_3L,4,9,38,evoavalla,81128,3,5,6,56,1.0,0.2777778,0.21052632,0
LGS_3L,4,9,38,random,2,3,6,3,16,0.75,0.11111111,0.0,0
LGS_3L,4,9,38,atgt,2280,22,118,268,644,0.0,0.0,0.0,0
Phd_master_flat2_v1,4,3,52,evoavalla,82548,24,52,51,128,1.0,1.0,1.0,0
Phd_master_flat2_v1,4,3,52,random,11,24,58,34,78,0.75,0.8333333,0.26923078,0
Phd_master_flat2_v1,4,3,52,atgt,2351,34,75,75,126,1.0,1.0,1.0,0
QuickSort,1,0,1,random,54,5,25,0,20,0.0,NaN,0.0,0
RegistroDiCassav4,8,12,22,evoavalla,76143,4,6,9,30,0.75,0.8333333,0.59090906,0
RegistroDiCassav4,8,12,22,random,0,4,8,7,11,0.75,0.75,0.4090909,0
SafeCombination,1,3,3,evoavalla,72437,2,2,2,2,1.0,0.8333333,0.6666667,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.5,0.33333334,0
SafeCombination,1,3,3,atgt,130,3,11,11,11,1.0,1.0,1.0,0
SiGistica,7,5,6,evoavalla,76702,4,5,6,54,1.0,0.6,1.0,0
SiGistica,7,5,6,random,4,4,8,8,16,0.85714287,0.5,0.8333333,0
SmartHome,24,34,25,random,20,5,25,32,390,0.29166666,0.1764706,0.28,5
Stufa,10,11,18,evoavalla,75834,1,1,0,10,0.5,0.27272728,0.11111111,0
Stufa,10,11,18,random,0,1,2,2,2,0.5,0.27272728,0.11111111,0
SwapSortOnSeq,1,0,1,random,22,5,25,0,25,0.0,NaN,0.0,0
Tcas,1,20,20,evoavalla,77377,0,0,0,0,0.0,0.0,0.0,0
Tcas,1,20,20,random,41,5,25,280,20,1.0,0.825,0.65,0
Tcas,1,20,20,atgt,420,10,10,140,10,1.0,1.0,1.0,10
TrafficLightv2,5,5,14,evoavalla,73764,2,31,2,66,1.0,1.0,1.0,0
TrafficLightv2,5,5,14,random,2,2,31,4,62,0.8,0.7,0.64285713,0
TrafficLightv2,5,5,14,atgt,258,7,77,19,152,1.0,0.9,0.85714287,1
