asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,92707,1,1,1,10,0.6,0.21428572,0.11764706,0,0
ATM,10,21,17,random,1,1,2,1,5,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,137739,3,3,2,0,1.0,0.21428572,0.2857143,0,0
CashPoint,5,7,7,random,0,3,6,0,12,1.0,0.5,0.2857143,2,0
CashRegister,8,12,22,evoavalla,77368,4,6,9,30,0.75,0.8333333,0.59090906,0,0
CashRegister,8,12,22,random,0,4,8,7,9,0.75,0.5416667,0.3181818,0,0
CoffeeVendingMachine,2,6,2,evoavalla,75332,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,0,4,8,5,14,1.0,0.41666666,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,389,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,73417,2,2,1,0,0.4,0.375,0.25,0,0
Counter,5,4,4,random,1,2,4,2,4,0.4,0.25,0.25,0,0
Counter,5,4,4,atgt,364,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,73992,2,2,4,18,1.0,0.5,0.6666667,0,0
DiceGame,1,4,9,random,1,2,4,4,12,1.0,0.25,0.44444445,0,0
GuessBigNumber,1,3,5,evoavalla,72975,2,2,1,1,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,random,4,2,4,2,6,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,atgt,277,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,10,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,79403,6,27,46,231,1.0,0.6666667,0.7631579,0,0
LandingGearSystem,4,9,38,random,6,6,28,27,94,1.0,0.33333334,0.23684211,0,0
LandingGearSystem,4,9,38,atgt,1993,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,72759,2,6,3,16,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,0,2,6,4,12,1.0,0.75,0.71428573,0,0
Lift,1,6,7,atgt,275,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,81761,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,5,24,58,34,80,0.75,0.8333333,0.23076923,0,0
PhdMaster,4,3,52,atgt,2522,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,72008,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.5,0.33333334,0,0
SafeCombination,1,3,3,atgt,107,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,75428,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,0,4,8,7,12,0.85714287,0.5,0.8333333,0,0
Stove,10,11,18,evoavalla,75024,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,0,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,73347,3,3,37,0,1.0,0.575,0.15,0,1
Tcas,1,20,20,random,2,3,6,42,3,1.0,0.7,0.45,0,0
Tcas,1,20,20,atgt,401,10,10,140,10,1.0,1.0,1.0,0,0
ATM,10,21,17,random100,229,5,500,495,1510,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,random100,731,5,500,494,25,1.0,0.5,0.2857143,0,0
CashRegister,8,12,22,random100,44,5,500,45,1577,1.0,0.9583333,0.90909094,0,0
CoffeeVendingMachine,2,6,2,random100,71,5,500,365,640,1.0,0.9166667,1.0,0,0
Counter,5,4,4,random100,34,5,500,495,897,0.6,0.625,0.5,0,0
DiceGame,1,4,9,random100,126,5,500,720,1733,1.0,1.0,1.0,0,0
GuessBigNumber,1,3,5,random100,147,5,500,50,995,1.0,0.8333333,0.6,0,0
IntegerTrain,7,9,17,random100,19,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,random100,1680,5,500,732,2822,1.0,0.8333333,0.7894737,0,0
Lift,1,6,7,random100,40,5,500,495,1000,1.0,0.8333333,1.0,0,0
PhdMaster,4,3,52,random100,45,5,500,495,992,1.0,1.0,0.6923077,0,0
SafeCombination,1,3,3,random100,55,5,500,495,500,1.0,0.8333333,0.6666667,0,0
SiGistica,7,5,6,random100,87,5,500,545,1157,1.0,0.7,1.0,0,0
Stove,10,11,18,random100,3,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random100,870,5,500,6930,495,1.0,1.0,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt_sefm,794,7,10,19,26,1.0,0.8333333,1.0,0,0
Counter,5,4,4,atgt_sefm,1100,6,3,3,5,0.4,0.375,0.25,0,0
GuessBigNumber,1,3,5,atgt_sefm,389,3,8,7,17,1.0,0.5,0.4,3,0
LandingGearSystem,4,9,38,atgt_sefm,2271,16,124,257,739,1.0,0.5,0.47368422,16,0
Lift,1,6,7,atgt_sefm,452,7,11,11,15,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,atgt_sefm,2758,34,71,71,131,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,atgt_sefm,199,2,8,8,10,1.0,1.0,1.0,0,0
Tcas,1,20,20,atgt_sefm,1082,10,20,280,20,1.0,1.0,1.0,0,0
