asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,83623,0,0,0,0,0.0,0.0,0.0,0,0
ATM,10,21,17,random,6,5,25,24,78,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,96855,1,1,0,0,0.8,0.14285715,0.0,0,0
CashPoint,5,7,7,random,0,1,2,0,4,1.0,0.5,0.2857143,1,0
CashRegister,8,12,22,evoavalla,76143,4,6,9,30,0.75,0.8333333,0.59090906,0,0
CashRegister,8,12,22,random,0,4,8,8,11,0.75,0.75,0.4090909,0,0
CoffeeVendingMachine,2,6,2,evoavalla,74198,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,2,4,8,7,15,1.0,0.6666667,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,381,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,74310,2,2,1,0,0.4,0.375,0.25,0,0
Counter,5,4,4,random,0,2,4,2,0,0.2,0.125,0.0,0,0
Counter,5,4,4,atgt,351,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,73867,2,2,4,16,1.0,0.5,0.6666667,0,0
DiceGame,1,4,9,random,1,2,4,4,10,1.0,0.5,0.44444445,0,0
GuessBigNumber,1,3,5,evoavalla,72801,2,2,1,1,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,random,4,2,4,2,6,1.0,0.5,0.4,0,0
GuessBigNumber,1,3,5,atgt,265,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,13,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,79587,7,32,58,273,1.0,0.6666667,0.92105263,0,0
LandingGearSystem,4,9,38,random,6,7,33,50,126,1.0,0.44444445,0.34210527,0,0
LandingGearSystem,4,9,38,atgt,1771,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,73579,3,6,4,18,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,0,3,6,3,10,1.0,0.75,0.71428573,0,0
Lift,1,6,7,atgt,325,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,81935,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,3,24,58,34,80,0.75,0.8333333,0.26923078,0,0
PhdMaster,4,3,52,atgt,1927,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,71761,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.5,0.33333334,0,0
SafeCombination,1,3,3,atgt,93,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,75918,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,1,4,8,8,20,1.0,0.6,1.0,0,0
Stove,10,11,18,evoavalla,74818,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,0,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,76474,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random,28,5,25,280,20,1.0,0.825,0.65,0,0
Tcas,1,20,20,atgt,377,10,10,140,10,1.0,1.0,1.0,0,0
ATM,10,21,17,random100,114,5,500,495,1510,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,random100,622,5,500,494,25,1.0,0.5,0.2857143,1,0
CashRegister,8,12,22,random100,33,5,500,7,1089,0.75,0.5416667,0.3181818,0,0
CoffeeVendingMachine,2,6,2,random100,66,5,500,422,640,1.0,0.9166667,1.0,0,0
Counter,5,4,4,random100,32,5,500,495,887,0.6,0.625,0.5,0,0
DiceGame,1,4,9,random100,125,5,500,762,1728,1.0,1.0,1.0,0,0
GuessBigNumber,1,3,5,random100,142,5,500,50,995,1.0,0.8333333,0.6,0,0
IntegerTrain,7,9,17,random100,31,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,random100,1666,5,500,703,2462,1.0,0.5,0.42105263,0,0
Lift,1,6,7,random100,30,5,500,495,999,1.0,0.8333333,1.0,0,0
PhdMaster,4,3,52,random100,39,5,500,495,994,1.0,1.0,0.96153843,0,0
SafeCombination,1,3,3,random100,70,5,500,495,500,1.0,0.8333333,0.6666667,0,0
SiGistica,7,5,6,random100,98,5,500,545,1158,1.0,0.7,1.0,0,0
Stove,10,11,18,random100,4,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random100,1339,5,500,6930,495,1.0,1.0,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt_sefm,770,7,10,19,26,1.0,0.8333333,1.0,0,0
Counter,5,4,4,atgt_sefm,682,6,3,3,5,0.4,0.375,0.25,0,0
GuessBigNumber,1,3,5,atgt_sefm,271,3,8,7,17,1.0,0.5,0.4,3,0
LandingGearSystem,4,9,38,atgt_sefm,2365,16,124,254,748,1.0,0.3888889,0.39473686,16,0
Lift,1,6,7,atgt_sefm,396,7,11,11,15,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,atgt_sefm,2637,32,67,67,125,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,atgt_sefm,107,2,8,8,10,1.0,1.0,1.0,0,0
Tcas,1,20,20,atgt_sefm,683,9,18,252,18,1.0,1.0,1.0,0,0
