execution_id,asm_name,rule_signature,tot_conditional_rules,covered_true_conditional_rules,covered_false_conditional_rules,tot_update_rules,covered_update_rules,failing_scenarios
exec_Ascensore_47d125ba-02be-4cb2-8a3d-8c9c67e5d713,Ascensore,r_Main(),6,6,4,7,7,none
exec_ATM3v2_4fafe495-22ad-411d-b778-1074083fa661,ATM3v2,r_Main(),2,0,2,1,0,.\src\main\resources\evoavallatests\ATM3v2\ATM3v2_scenario17.avalla
exec_ATM3v2_4fafe495-22ad-411d-b778-1074083fa661,ATM3v2,r_chooseService(),5,0,1,4,0,.\src\main\resources\evoavallatests\ATM3v2\ATM3v2_scenario17.avalla
exec_ATM3v2_4fafe495-22ad-411d-b778-1074083fa661,ATM3v2,r_insertcard(),2,1,1,2,0,.\src\main\resources\evoavallatests\ATM3v2\ATM3v2_scenario17.avalla
exec_ATM3v2_4fafe495-22ad-411d-b778-1074083fa661,ATM3v2,r_chooseAmount(),3,0,1,2,0,.\src\main\resources\evoavallatests\ATM3v2\ATM3v2_scenario17.avalla
exec_ATM3v2_4fafe495-22ad-411d-b778-1074083fa661,ATM3v2,r_enterPin(),2,0,1,3,0,.\src\main\resources\evoavallatests\ATM3v2\ATM3v2_scenario17.avalla
exec_ATM3v2_4fafe495-22ad-411d-b778-1074083fa661,ATM3v2,r_prelievo(),6,0,2,0,0,.\src\main\resources\evoavallatests\ATM3v2\ATM3v2_scenario17.avalla
exec_CashPoint_75c64c7a-3835-4277-88f5-beb85cadbfe3,CashPoint,"r_insertedCard(Till,Card)",1,1,0,2,2,none
exec_CashPoint_75c64c7a-3835-4277-88f5-beb85cadbfe3,CashPoint,r_main(),0,0,0,0,0,none
exec_CashPoint_75c64c7a-3835-4277-88f5-beb85cadbfe3,CashPoint,r_validPin(Till),2,0,1,2,0,none
exec_CashPoint_75c64c7a-3835-4277-88f5-beb85cadbfe3,CashPoint,r_enterPin(Till),4,0,1,3,0,none
exec_CashPoint_75c64c7a-3835-4277-88f5-beb85cadbfe3,CashPoint,r_insertCard(Till),0,0,0,0,0,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_rightAnswer(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_wrongAnswer(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_checkanswer(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_wrongCheckLevel(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_chooseshape(),0,0,0,4,4,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_2ErrorGoBack(),1,1,1,5,5,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_rightAnswNoLoop(),0,0,0,3,3,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_goOut(),0,0,0,2,2,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_rightAnswLoop(),1,1,0,2,1,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_skip(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_wrong(),1,1,1,2,2,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_exit(),2,0,1,2,0,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_levelno1(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_test(),3,3,3,0,0,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_level1(),1,1,0,3,2,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_setCertifier(),1,1,1,2,2,none
exec_Certifier_nochoose_noundef_35818000-3c5c-4672-bd16-2e8d13a4c4d9,Certifier_nochoose_noundef,r_Main(),1,1,1,0,0,none
exec_CoffeeVendingMachineNC_8e859e91-b990-4a17-8f0a-c70bd116b5f0,CoffeeVendingMachineNC,r_serveProduct(Product),0,0,0,2,2,none
exec_CoffeeVendingMachineNC_8e859e91-b990-4a17-8f0a-c70bd116b5f0,CoffeeVendingMachineNC,r_Main(),6,6,3,0,0,none
exec_Contatore_U_DA_H_1b8501ab-c195-4816-9104-fa9875b1f57a,Contatore_U_DA_H,r_Contatore(),1,1,1,0,0,none
exec_Contatore_U_DA_H_1b8501ab-c195-4816-9104-fa9875b1f57a,Contatore_U_DA_H,r_upUnita(),1,0,1,1,1,none
exec_Dado_08ad0f83-4ca1-43d4-b98d-e771381b71f4,Dado,r_Main(),4,2,3,9,6,none
exec_Ferryman_65afcb6f-5f5f-4350-b369-b4018ded4a74,Ferryman,r_MoveFerryman(),1,1,0,2,1,none
exec_Ferryman_65afcb6f-5f5f-4350-b369-b4018ded4a74,Ferryman,r_ferrymanProblem(),1,0,1,1,0,none
