AsmSpec,EvoAvalla,Random,Atgt
Ascensore,86161,67,2935
ATM3v2,161131,46,0
CashPoint,91497,31,0
Cassaforte,84234,42,0
Certifier_nochoose_noundef,103038,78,5936
CoffeeVendingMachineNC,79152,5,0
Contatore_U_DA_H,77502,1,0
Dado,78989,4,0
Ferryman,79209,11,0
Forno,76321,0,386
LIFT,0,300,0
Phd_master_flat2_v1,92046,23,4131
Pillbox_1,86405,16,3410
RegistroDiCassav4,86564,0,0
RailroadGate,77295,15,0
SiGistica,81897,25,0
SIS,0,49,914
SmartHome,0,102,0
Stufa,0,0,0
TrafficLightv2,77081,6,0
