asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,140956,2,4,7,83,0.0,0.0,0.0,0,2
ATM,10,21,17,random,0,2,4,2,10,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,87302,1,1,0,0,0.8,0.14285715,0.0,0,0
CashPoint,5,7,7,random,1,1,2,0,4,1.0,0.5,0.2857143,1,0
CashRegister,8,12,22,evoavalla,76243,4,6,9,30,0.75,0.8333333,0.59090906,0,0
CashRegister,8,12,22,random,1,4,8,6,9,0.75,0.6666667,0.3181818,0,0
CoffeeVendingMachine,2,6,2,evoavalla,74283,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,0,4,8,6,12,1.0,0.41666666,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,393,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,74019,2,11,1,0,0.6,0.625,0.5,0,0
Counter,5,4,4,random,1,2,12,10,10,0.4,0.375,0.25,0,0
Counter,5,4,4,atgt,437,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,73890,1,1,2,9,1.0,0.375,0.44444445,0,0
DiceGame,1,4,9,random,0,1,2,2,6,1.0,0.25,0.44444445,0,0
GuessBigNumber,1,3,5,evoavalla,72743,2,2,1,1,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,random,3,2,4,2,6,1.0,0.5,0.4,0,0
GuessBigNumber,1,3,5,atgt,270,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,32,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,79592,6,22,38,196,1.0,0.6111111,0.7368421,0,0
LandingGearSystem,4,9,38,random,3,6,23,27,83,1.0,0.44444445,0.28947368,0,0
LandingGearSystem,4,9,38,atgt,1596,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,72371,2,6,3,16,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,0,2,6,4,11,1.0,0.75,0.71428573,0,0
Lift,1,6,7,atgt,212,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,81208,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,4,24,58,34,84,0.75,0.8333333,0.23076923,0,0
PhdMaster,4,3,52,atgt,1895,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,72020,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,1,2,4,2,4,1.0,0.5,0.33333334,0,0
SafeCombination,1,3,3,atgt,101,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,75300,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,0,4,8,8,20,1.0,0.6,1.0,0,0
Stove,10,11,18,evoavalla,74804,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,1,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,73881,5,5,53,0,1.0,0.725,0.45,0,0
Tcas,1,20,20,random,5,5,10,70,5,1.0,0.725,0.5,0,0
Tcas,1,20,20,atgt,386,10,10,140,10,1.0,1.0,1.0,0,0
