AsmSpec,EvoAvalla,Random,Atgt
Ascensore,77788,36,662
ATM3v2,145849,4,0
CashPoint,92191,22,0
Cassaforte,0,47,0
Certifier_nochoose_noundef,81804,42,4596
CoffeeVendingMachineNC,75209,12,0
Contatore_U_DA_H,74046,1,0
Dado,74945,6,0
Ferryman,74589,4,0
Forno,73930,6,362
LIFT,0,356,0
Phd_master_flat2_v1,82939,91,2875
Pillbox_1,77640,7,3461
RailroadGate,73918,3,0
RegistroDiCassav4,77329,2,0
SiGistica,76216,18,0
SIS,0,53,859
SmartHome,0,34,0
Stufa,77308,1,0
TrafficLightv2,74126,6,0
