asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,118223,0,0,0,0,0.0,0.0,0.0,0,0
ATM,10,21,17,random,5,5,25,24,78,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,93291,1,1,0,0,0.8,0.14285715,0.0,0,0
CashPoint,5,7,7,random,0,1,2,0,4,1.0,0.5,0.2857143,0,0
CashRegister,8,12,22,evoavalla,76695,4,6,9,30,0.75,0.8333333,0.59090906,0,0
CashRegister,8,12,22,random,1,4,8,8,11,0.75,0.75,0.4090909,0,0
CoffeeVendingMachine,2,6,2,evoavalla,73975,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,1,4,8,6,14,1.0,0.41666666,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,410,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,73827,2,2,1,0,0.4,0.375,0.25,0,0
Counter,5,4,4,random,0,2,4,2,4,0.4,0.25,0.25,0,0
Counter,5,4,4,atgt,360,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,75242,2,2,4,18,1.0,0.5,0.6666667,0,0
DiceGame,1,4,9,random,5,2,4,4,12,1.0,0.5,0.6666667,0,0
GuessBigNumber,1,3,5,evoavalla,74276,2,2,1,1,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,random,3,2,4,2,6,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,atgt,280,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,12,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,80204,7,24,37,217,1.0,0.5555556,0.6315789,0,0
LandingGearSystem,4,9,38,random,3,7,25,19,75,1.0,0.33333334,0.23684211,0,0
LandingGearSystem,4,9,38,atgt,2038,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,74235,3,6,4,18,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,0,3,6,3,10,1.0,0.75,0.71428573,0,0
Lift,1,6,7,atgt,244,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,80843,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,3,24,58,34,83,0.75,0.8333333,0.30769232,0,0
PhdMaster,4,3,52,atgt,2450,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,72001,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.5,0.33333334,0,0
SafeCombination,1,3,3,atgt,94,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,77531,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,0,4,8,4,8,0.2857143,0.1,0.16666667,0,0
Stove,10,11,18,evoavalla,78088,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,1,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,76795,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random,30,5,25,280,20,1.0,0.875,0.75,0,0
Tcas,1,20,20,atgt,368,10,10,140,10,1.0,1.0,1.0,0,0
