asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios
Ascensore,1,6,7,evoavalla,78436,2,6,3,16,1.0,0.8333333,1.0,0
Ascensore,1,6,7,random,34,2,6,4,10,1.0,0.75,0.71428573,0
Ascensore,1,6,7,atgt,940,7,11,11,17,1.0,0.8333333,1.0,0
ATM3v2,10,21,17,evoavalla,84054,0,0,0,0,0.0,0.0,0.0,0
ATM3v2,10,21,17,random,51,5,25,24,79,0.6,0.2857143,0.1764706,0
CashPoint,5,7,7,evoavalla,128425,1,1,0,0,1.0,0.2857143,0.2857143,2
CashPoint,5,7,7,random,5,1,2,0,4,1.0,0.5,0.2857143,2
CoffeeVendingMachineNC,2,6,2,evoavalla,75437,4,4,3,32,1.0,0.75,1.0,0
CoffeeVendingMachineNC,2,6,2,random,9,4,8,7,15,1.0,0.6666667,1.0,0
CoffeeVendingMachineNC,2,6,2,atgt,855,7,47,71,108,1.0,1.0,1.0,0
Contatore_U_DA_H,5,4,4,evoavalla,74782,2,2,1,0,0.4,0.375,0.25,0
Contatore_U_DA_H,5,4,4,random,0,2,4,2,4,0.4,0.25,0.25,0
Contatore_U_DA_H,5,4,4,atgt,713,1,1001,1001,1111,1.0,1.0,1.0,0
Dado,1,4,9,evoavalla,74667,2,2,4,16,1.0,0.5,0.6666667,0
Dado,1,4,9,random,3,2,4,4,12,1.0,0.25,0.44444445,0
Ferryman,3,4,5,evoavalla,74167,1,3,1,20,1.0,0.5,0.4,1
Ferryman,3,4,5,random,4,1,0,0,0,0.0,0.0,0.0,1
GuessBigNumber,1,2,3,random,417,5,25,20,45,1.0,0.5,0.33333334,0
Integer_train,7,9,17,random,1423,0,0,0,0,0.0,0.0,0.0,0
LGS_3L,4,9,38,evoavalla,80877,5,13,18,126,1.0,0.33333334,0.42105263,0
LGS_3L,4,9,38,random,9,5,14,15,41,1.0,0.2777778,0.15789473,0
LGS_3L,4,9,38,atgt,2562,22,118,268,644,0.0,0.0,0.0,0
Phd_master_flat2_v1,4,3,52,evoavalla,81717,24,52,51,128,1.0,1.0,1.0,0
Phd_master_flat2_v1,4,3,52,random,9,24,58,34,79,0.75,0.8333333,0.23076923,0
Phd_master_flat2_v1,4,3,52,atgt,2539,34,75,75,126,1.0,1.0,1.0,0
QuickSort,1,0,1,random,58,5,25,0,20,0.0,NaN,0.0,0
RegistroDiCassav4,8,12,22,evoavalla,78016,4,6,9,30,0.75,0.8333333,0.59090906,0
RegistroDiCassav4,8,12,22,random,2,4,8,8,10,0.75,0.75,0.4090909,0
SafeCombination,1,3,3,evoavalla,73419,2,2,2,2,1.0,0.8333333,0.6666667,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.5,0.33333334,0
SafeCombination,1,3,3,atgt,110,3,11,11,11,1.0,1.0,1.0,0
SiGistica,7,5,6,evoavalla,77033,4,5,6,54,1.0,0.6,1.0,0
SiGistica,7,5,6,random,2,4,8,7,12,0.85714287,0.5,0.8333333,0
SmartHome,24,34,25,random,30,5,25,30,390,0.29166666,0.1764706,0.28,5
Stufa,10,11,18,evoavalla,75577,1,1,0,10,0.5,0.27272728,0.11111111,0
Stufa,10,11,18,random,1,1,2,2,2,0.5,0.27272728,0.11111111,0
SwapSortOnSeq,1,0,1,random,18,5,25,0,25,0.0,NaN,0.0,0
Tcas,1,20,20,evoavalla,75159,5,5,65,0,1.0,0.725,0.45,0
Tcas,1,20,20,random,13,5,10,70,5,1.0,0.75,0.5,0
Tcas,1,20,20,atgt,480,10,10,140,10,1.0,1.0,1.0,10
TrafficLightv2,5,5,14,evoavalla,74821,2,31,2,66,1.0,1.0,1.0,0
TrafficLightv2,5,5,14,random,4,2,31,5,62,0.8,0.7,0.64285713,0
TrafficLightv2,5,5,14,atgt,383,7,77,19,152,1.0,0.9,0.85714287,1
