AsmSpec,EvoAvalla,Random,Atgt
Ascensore,80700,34,722
ATM3v2,145612,33,0
CashPoint,109222,26,0
Cassaforte,0,33,0
Certifier_nochoose_noundef,83211,26,4765
CoffeeVendingMachineNC,75124,10,0
Contatore_U_DA_H,77338,1,0
Dado,74270,14,0
Ferryman,74722,1,0
Forno,77292,66,331
LIFT,0,296,0
Phd_master_flat2_v1,86974,27,3112
Pillbox_1,80717,23,4308
RailroadGate,75857,2,0
RegistroDiCassav4,84336,15,0
SiGistica,77605,5,0
SIS,0,26,843
SmartHome,0,31,0
Stufa,78816,0,0
TrafficLightv2,76845,5,0
