AsmSpec,EvoAvalla,Random,Atgt
Ascensore,104685,72,1478
ATM3v2,119384,22,0
CashPoint,132984,122,0
Cassaforte,0,137,0
Certifier_nochoose_noundef,104017,147,12933
CoffeeVendingMachineNC,84755,37,0
Contatore_U_DA_H,81908,9,0
Dado,88721,6,0
Ferryman,76881,14,0
Forno,79599,6,385
LIFT,0,252,0
Phd_master_flat2_v1,83951,36,1956
Pillbox_1,77555,18,3043
RailroadGate,74419,1,0
RegistroDiCassav4,75919,3,0
SiGistica,75639,7,0
SIS,0,59,805
SmartHome,0,32,0
Stufa,81986,2,0
TrafficLightv2,77967,2,0
