AsmSpec,EvoAvalla,Random,Atgt
Ascensore,77179,36,801
ATM3v2,145327,24,0
CashPoint,110074,9,0
Cassaforte,0,58,0
Certifier_nochoose_noundef,87281,33,4369
CoffeeVendingMachineNC,77013,7,0
Contatore_U_DA_H,79683,0,0
Dado,81589,7,0
Ferryman,74497,2,0
Forno,73468,11,309
LIFT,0,298,0
Phd_master_flat2_v1,81036,40,2290
Pillbox_1,77191,57,3078
RailroadGate,74854,2,0
RegistroDiCassav4,75775,8,0
SiGistica,75472,5,0
SIS,0,25,827
SmartHome,0,32,0
Stufa,75778,0,0
TrafficLightv2,73148,1,0
