asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,139345,2,4,7,69,0.6,0.2857143,0.1764706,0,1
ATM,10,21,17,random,1,2,4,2,10,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,95765,1,1,4,0,0.0,0.0,0.0,0,1
CashPoint,5,7,7,random,0,1,2,0,4,1.0,0.5,0.2857143,0,0
CashRegister,8,12,22,evoavalla,77699,4,6,9,30,0.75,0.8333333,0.59090906,0,0
CashRegister,8,12,22,random,0,4,8,8,12,0.75,0.6666667,0.3181818,0,0
CoffeeVendingMachine,2,6,2,evoavalla,74830,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,1,4,8,7,14,1.0,0.5833333,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,606,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,73958,2,2,1,0,0.4,0.375,0.25,0,0
Counter,5,4,4,random,0,2,4,2,0,0.2,0.125,0.0,0,0
Counter,5,4,4,atgt,339,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,73930,2,2,4,18,1.0,0.5,0.6666667,0,0
DiceGame,1,4,9,random,1,2,4,4,12,1.0,0.25,0.44444445,0,0
GuessBigNumber,1,3,5,evoavalla,72772,2,2,1,1,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,random,2,2,4,2,6,1.0,0.5,0.4,0,0
GuessBigNumber,1,3,5,atgt,285,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,42,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,79257,5,14,20,133,1.0,0.44444445,0.47368422,0,0
LandingGearSystem,4,9,38,random,2,5,15,17,44,1.0,0.2777778,0.078947365,0,0
LandingGearSystem,4,9,38,atgt,1728,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,73076,2,6,3,16,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,1,2,6,4,10,1.0,0.75,0.71428573,0,0
Lift,1,6,7,atgt,214,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,81663,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,2,24,58,34,81,0.75,0.8333333,0.26923078,0,0
PhdMaster,4,3,52,atgt,2188,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,72460,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,1,2,4,2,4,1.0,0.5,0.33333334,0,0
SafeCombination,1,3,3,atgt,137,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,77037,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,1,4,8,6,12,0.85714287,0.5,0.8333333,0,0
Stove,10,11,18,evoavalla,75983,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,0,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,75250,5,5,62,0,1.0,0.725,0.45,0,1
Tcas,1,20,20,random,6,5,10,70,5,1.0,0.725,0.5,0,0
Tcas,1,20,20,atgt,374,10,10,140,10,1.0,1.0,1.0,0,0
ATM,10,21,17,random100,112,5,500,495,1510,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,random100,768,5,500,494,25,1.0,0.5,0.2857143,3,0
CashRegister,8,12,22,random100,48,5,500,63,1381,1.0,0.9583333,0.90909094,0,0
CoffeeVendingMachine,2,6,2,random100,70,5,500,303,640,1.0,0.9166667,1.0,0,0
Counter,5,4,4,random100,32,5,500,495,906,0.6,0.625,0.5,0,0
DiceGame,1,4,9,random100,188,5,500,986,1834,1.0,0.875,0.8888889,0,0
GuessBigNumber,1,3,5,random100,144,5,500,50,995,1.0,0.8333333,0.6,0,0
IntegerTrain,7,9,17,random100,83,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,random100,1605,5,500,708,2459,1.0,0.5,0.42105263,0,0
Lift,1,6,7,random100,36,5,500,495,997,1.0,0.8333333,1.0,0,0
PhdMaster,4,3,52,random100,52,5,500,495,993,1.0,1.0,0.96153843,0,0
SafeCombination,1,3,3,random100,72,5,500,495,500,1.0,0.8333333,0.6666667,0,0
SiGistica,7,5,6,random100,99,5,500,545,1148,1.0,0.7,1.0,0,0
Stove,10,11,18,random100,3,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random100,944,5,500,6930,495,1.0,0.975,0.95,0,0
