asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,139539,3,5,6,68,0.6,0.30952382,0.1764706,1,0
ATM,10,21,17,random,0,3,6,3,15,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,110661,1,1,0,0,1.0,0.21428572,0.2857143,0,0
CashPoint,5,7,7,random,1,1,2,0,4,1.0,0.5,0.2857143,0,0
CashRegister,8,12,22,evoavalla,77236,5,7,9,36,0.75,0.8333333,0.59090906,0,0
CashRegister,8,12,22,random,0,5,10,9,13,0.75,0.75,0.4090909,0,0
CoffeeVendingMachine,2,6,2,evoavalla,74093,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,2,4,8,8,15,1.0,0.6666667,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,405,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,73413,2,2,1,0,0.4,0.375,0.25,0,0
Counter,5,4,4,random,0,2,4,2,0,0.2,0.125,0.0,0,0
Counter,5,4,4,atgt,367,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,73826,2,2,4,18,1.0,0.5,0.6666667,0,0
DiceGame,1,4,9,random,0,2,4,4,10,1.0,0.5,0.44444445,0,0
GuessBigNumber,1,3,5,evoavalla,74255,3,3,2,2,1.0,0.8333333,1.0,0,0
GuessBigNumber,1,3,5,random,6,3,6,3,9,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,atgt,304,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,47,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,79887,7,29,47,252,1.0,0.6666667,0.8684211,0,0
LandingGearSystem,4,9,38,random,3,7,30,34,95,1.0,0.33333334,0.23684211,0,0
LandingGearSystem,4,9,38,atgt,1848,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,73011,2,6,3,16,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,0,2,6,4,12,1.0,0.75,0.71428573,0,0
Lift,1,6,7,atgt,229,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,80735,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,4,24,58,34,83,0.75,0.8333333,0.30769232,0,0
PhdMaster,4,3,52,atgt,2130,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,72677,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.5,0.33333334,0,0
SafeCombination,1,3,3,atgt,135,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,77059,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,0,4,8,8,12,0.85714287,0.5,0.8333333,0,0
Stove,10,11,18,evoavalla,74760,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,0,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,76379,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random,26,5,25,280,20,1.0,0.85,0.7,0,0
Tcas,1,20,20,atgt,370,10,10,140,10,1.0,1.0,1.0,0,0
ATM,10,21,17,random100,140,5,500,495,1510,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,random100,662,5,500,494,25,1.0,0.5,0.2857143,2,0
CashRegister,8,12,22,random100,55,5,500,33,1384,1.0,0.9583333,0.90909094,0,0
CoffeeVendingMachine,2,6,2,random100,62,5,500,374,640,1.0,1.0,1.0,0,0
Counter,5,4,4,random100,38,5,500,495,887,0.6,0.625,0.5,0,0
DiceGame,1,4,9,random100,118,5,500,660,1727,1.0,1.0,1.0,0,0
GuessBigNumber,1,3,5,random100,164,5,500,50,995,1.0,0.8333333,0.6,0,0
IntegerTrain,7,9,17,random100,23,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,random100,1636,5,500,708,2586,1.0,0.9444444,0.8684211,0,0
Lift,1,6,7,random100,31,5,500,495,997,1.0,0.8333333,1.0,0,0
PhdMaster,4,3,52,random100,43,5,500,495,993,1.0,1.0,0.7692308,0,0
SafeCombination,1,3,3,random100,51,5,500,495,500,1.0,0.8333333,0.6666667,0,0
SiGistica,7,5,6,random100,115,5,500,545,1151,1.0,0.7,1.0,0,0
Stove,10,11,18,random100,3,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random100,954,5,500,6930,495,1.0,1.0,1.0,0,0
