AsmSpec,EvoAvalla,Random,Atgt
ATM3v2,45127.333333333336,86.11111111111111,0.0
Ascensore,83258.6,48.0,1083.4
CashPoint,113458.11111111111,58.333333333333336,0.0
Cassaforte,0.0,52.0,0.0
Certifier_nochoose_noundef,88243.33333333333,45.44444444444444,5920.111111111111
CoffeeVendingMachineNC,78144.33333333333,15.0,0.0
Contatore_U_DA_H,76504.22222222222,4.222222222222222,0.0
Dado,79755.11111111111,18.444444444444443,0.0
Ferryman,76372.44444444444,5.777777777777778,0.0
Forno,75395.55555555556,8.777777777777779,403.77777777777777
LIFT,0.0,310.1111111111111,0.0
Phd_master_flat2_v1,83695.88888888889,33.44444444444444,2311.0
Pillbox_1,79444.55555555556,20.333333333333332,3356.3333333333335
RailroadGate,75358.88888888889,3.7777777777777777,0.0
RegistroDiCassav4,77841.44444444444,4.0,0.0
SIS,0.0,50.333333333333336,827.8888888888889
SiGistica,78280.44444444444,6.777777777777778,0.0
SmartHome,0.0,35.22222222222222,0.0
Stufa,77669.77777777778,1.5555555555555556,0.0
TrafficLightv2,74712.77777777778,6.222222222222222,0.0
