AsmSpec,EvoAvalla,Random,Atgt
Ascensore,79485,32,668
ATM3v2,0,109,0
CashPoint,0,260,0
Cassaforte,0,42,0
Certifier_nochoose_noundef,81708,61,4617
CoffeeVendingMachineNC,74763,9,0
Contatore_U_DA_H,74132,0,0
Dado,74691,6,0
Ferryman,73771,6,0
Forno,74046,9,285
LIFT,0,454,0
Phd_master_flat2_v1,82329,52,2213
Pillbox_1,77998,31,3624
RailroadGate,74519,2,0
RegistroDiCassav4,76753,7,0
SiGistica,76739,8,0
SIS,0,52,737
SmartHome,0,34,0
Stufa,75563,1,0
TrafficLightv2,74070,5,0
