asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,80980,0,0,0,0,0.0,0.0,0.0,0,0
ATM,10,21,17,random,5,5,25,24,79,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,89155,1,1,0,0,0.8,0.14285715,0.0,0,0
CashPoint,5,7,7,random,0,1,2,0,4,1.0,0.5,0.2857143,0,0
CashRegister,8,12,22,evoavalla,76179,4,6,9,30,0.75,0.8333333,0.59090906,0,0
CashRegister,8,12,22,random,1,4,8,7,10,0.75,0.75,0.4090909,0,0
CoffeeVendingMachine,2,6,2,evoavalla,74855,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,0,4,8,6,14,1.0,0.41666666,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,578,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,74737,2,2,1,0,0.4,0.375,0.25,0,0
Counter,5,4,4,random,0,2,4,2,2,0.4,0.375,0.25,0,0
Counter,5,4,4,atgt,353,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,74453,2,2,4,17,1.0,0.5,0.6666667,0,0
DiceGame,1,4,9,random,1,2,4,4,12,1.0,0.25,0.44444445,0,0
GuessBigNumber,1,3,5,evoavalla,74926,3,3,2,2,1.0,0.8333333,1.0,0,0
GuessBigNumber,1,3,5,random,5,3,6,3,9,1.0,0.6666667,0.6,0,0
GuessBigNumber,1,3,5,atgt,263,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,12,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,81148,6,16,19,154,1.0,0.44444445,0.42105263,0,0
LandingGearSystem,4,9,38,random,3,6,17,18,51,1.0,0.33333334,0.15789473,0,0
LandingGearSystem,4,9,38,atgt,1652,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,72669,2,6,3,16,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,0,2,6,4,12,1.0,0.6666667,0.85714287,0,0
Lift,1,6,7,atgt,213,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,81130,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,4,24,58,34,84,0.75,0.8333333,0.26923078,0,0
PhdMaster,4,3,52,atgt,1762,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,72740,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.5,0.33333334,0,0
SafeCombination,1,3,3,atgt,132,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,75672,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,0,4,8,6,12,0.85714287,0.5,0.8333333,0,0
Stove,10,11,18,evoavalla,74461,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,0,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,76354,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random,38,5,25,280,20,1.0,0.85,0.7,0,0
Tcas,1,20,20,atgt,360,10,10,140,10,1.0,1.0,1.0,0,0
