execution_id,asm_name,rule_signature,tot_conditional_rules,covered_true_conditional_rules,covered_false_conditional_rules,tot_update_rules,covered_update_rules,failing_scenarios
exec_Ascensore_2ddfe08d-6fc1-44e3-86bb-0fd33772d297,Ascensore,r_Main(),6,6,4,7,7,none
exec_ATM3v2_b4712ec7-7248-431c-a82b-71d3919a663f,ATM3v2,r_Main(),2,0,2,1,0,none
exec_ATM3v2_b4712ec7-7248-431c-a82b-71d3919a663f,ATM3v2,r_chooseService(),5,0,1,4,0,none
exec_ATM3v2_b4712ec7-7248-431c-a82b-71d3919a663f,ATM3v2,r_insertcard(),2,2,1,2,2,none
exec_ATM3v2_b4712ec7-7248-431c-a82b-71d3919a663f,ATM3v2,r_chooseAmount(),3,0,1,2,0,none
exec_ATM3v2_b4712ec7-7248-431c-a82b-71d3919a663f,ATM3v2,r_enterPin(),2,1,2,3,1,none
exec_ATM3v2_b4712ec7-7248-431c-a82b-71d3919a663f,ATM3v2,r_prelievo(),6,0,2,0,0,none
exec_CashPoint_260618c7-723a-4e87-9fa1-438fe813ce67,CashPoint,"r_insertedCard(Till,Card)",1,1,0,2,2,none
exec_CashPoint_260618c7-723a-4e87-9fa1-438fe813ce67,CashPoint,r_main(),0,0,0,0,0,none
exec_CashPoint_260618c7-723a-4e87-9fa1-438fe813ce67,CashPoint,r_validPin(Till),2,0,1,2,0,none
exec_CashPoint_260618c7-723a-4e87-9fa1-438fe813ce67,CashPoint,r_enterPin(Till),4,0,1,3,0,none
exec_CashPoint_260618c7-723a-4e87-9fa1-438fe813ce67,CashPoint,r_insertCard(Till),0,0,0,0,0,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_rightAnswer(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_wrongAnswer(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_checkanswer(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_wrongCheckLevel(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_chooseshape(),0,0,0,4,4,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_2ErrorGoBack(),1,1,1,5,5,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_rightAnswNoLoop(),0,0,0,3,3,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_goOut(),0,0,0,2,2,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_rightAnswLoop(),1,1,1,2,2,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_skip(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_wrong(),1,1,1,2,2,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_exit(),2,0,1,2,0,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_levelno1(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_test(),3,3,3,0,0,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_level1(),1,1,1,3,3,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_setCertifier(),1,1,1,2,2,none
exec_Certifier_nochoose_noundef_35528e8f-eef0-4ffd-8c2f-c4d78059d0c4,Certifier_nochoose_noundef,r_Main(),1,1,1,0,0,none
exec_CoffeeVendingMachineNC_a4bb023b-46d5-47ae-b60a-f8a2c7c7909b,CoffeeVendingMachineNC,r_serveProduct(Product),0,0,0,2,2,none
exec_CoffeeVendingMachineNC_a4bb023b-46d5-47ae-b60a-f8a2c7c7909b,CoffeeVendingMachineNC,r_Main(),6,6,3,0,0,none
exec_Contatore_U_DA_H_749ed08c-2314-43a3-a127-d793fdc79df2,Contatore_U_DA_H,r_Contatore(),1,1,1,0,0,none
exec_Contatore_U_DA_H_749ed08c-2314-43a3-a127-d793fdc79df2,Contatore_U_DA_H,r_upUnita(),1,0,1,1,1,none
exec_Dado_dab44eca-ff48-400c-9e0f-9128a38c9231,Dado,r_Main(),4,2,2,9,6,none
exec_Ferryman_201ae669-b05c-409f-8090-595886b92a53,Ferryman,r_MoveFerryman(),1,1,1,2,2,.\src\main\resources\evoavallatests\Ferryman\Ferryman_scenario1.avalla
exec_Ferryman_201ae669-b05c-409f-8090-595886b92a53,Ferryman,r_ferrymanProblem(),1,0,1,1,0,.\src\main\resources\evoavallatests\Ferryman\Ferryman_scenario1.avalla
exec_Ferryman_201ae669-b05c-409f-8090-595886b92a53,Ferryman,r_MoveCarry(),2,2,1,2,2,.\src\main\resources\evoavallatests\Ferryman\Ferryman_scenario1.avalla
exec_Forno_b7bc83a9-31f8-4571-b2ea-0b54f4882cef,Forno,r_Main(),4,4,4,7,7,none
exec_Phd_master_flat2_v1_c0ef9d1d-34bd-44b4-a413-4aa77da4d8fa,Phd_master_flat2_v1,r_Unassociated(),0,0,0,14,14,none
exec_Phd_master_flat2_v1_c0ef9d1d-34bd-44b4-a413-4aa77da4d8fa,Phd_master_flat2_v1,r_Operating(),0,0,0,18,18,none
exec_Phd_master_flat2_v1_c0ef9d1d-34bd-44b4-a413-4aa77da4d8fa,Phd_master_flat2_v1,r_Disassociating(),0,0,0,20,20,none
exec_Phd_master_flat2_v1_c0ef9d1d-34bd-44b4-a413-4aa77da4d8fa,Phd_master_flat2_v1,r_Main(),3,3,3,0,0,none
exec_Pillbox_1_97750278-c616-40c2-bae2-22a1672e3000,Pillbox_1,r_drawerOpened(),1,1,1,3,3,none
exec_Pillbox_1_97750278-c616-40c2-bae2-22a1672e3000,Pillbox_1,r_drawerClosed(),0,0,0,4,4,none
exec_Pillbox_1_97750278-c616-40c2-bae2-22a1672e3000,Pillbox_1,r_timeOutExpired_drawerOpened(),0,0,0,5,5,none
exec_Pillbox_1_97750278-c616-40c2-bae2-22a1672e3000,Pillbox_1,r_pillToBeTaken(),1,1,0,3,3,none
exec_Pillbox_1_97750278-c616-40c2-bae2-22a1672e3000,Pillbox_1,r_writeToFile(),0,0,0,0,0,none
exec_Pillbox_1_97750278-c616-40c2-bae2-22a1672e3000,Pillbox_1,r_takeInTimeout(),1,1,0,3,3,none
exec_Pillbox_1_97750278-c616-40c2-bae2-22a1672e3000,Pillbox_1,r_timeOutExpired_missedPill(),0,0,0,5,5,none
exec_Pillbox_1_97750278-c616-40c2-bae2-22a1672e3000,Pillbox_1,r_Main(),16,15,14,3,3,none
exec_RailroadGate_e858c058-845b-415f-a366-bc3f9c740ad0,RailroadGate,r_Main(),2,2,2,4,4,none
exec_RegistroDiCassav4_6188861c-eb7a-42d5-98a4-0b559dd8a07c,RegistroDiCassav4,r_pizzaStandardSelezionata(),2,0,1,4,0,none
exec_RegistroDiCassav4_6188861c-eb7a-42d5-98a4-0b559dd8a07c,RegistroDiCassav4,r_scegliTipoDiPizza(),3,3,3,4,4,none
exec_RegistroDiCassav4_6188861c-eb7a-42d5-98a4-0b559dd8a07c,RegistroDiCassav4,r_attendiOrdinazioni(),3,3,3,5,5,none
