AsmSpec,EvoAvalla,Random,Atgt
Ascensore,46279,47,958
ATM3v2,31397,121,0
CashPoint,25727,19,0
Cassaforte,20578,36,0
Certifier_nochoose_noundef,27000,15,4518
CoffeeVendingMachineNC,21517,7,0
Contatore_U_DA_H,21362,6,0
Dado,20261,2,0
Ferryman,22135,6,0
Forno,19644,5,307
LIFT,0,260,0
Phd_master_flat2_v1,28393,32,2672
Pillbox_1,23705,15,2991
RailroadGate,19410,2,0
RegistroDiCassav4,42571,0,0
SiGistica,23647,5,0
SIS,0,51,823
SmartHome,0,24,0
Stufa,24997,0,0
TrafficLightv2,22320,4,0
