AsmSpec,EvoAvalla,Random,Atgt
Ascensore,78243,49,832
ATM3v2,0,63,0
CashPoint,129146,265,0
Cassaforte,0,33,0
Certifier_nochoose_noundef,80531,26,4045
CoffeeVendingMachineNC,77312,18,0
Contatore_U_DA_H,75100,1,0
Dado,74020,3,0
Ferryman,74418,4,0
Forno,74384,31,343
LIFT,0,218,0
Phd_master_flat2_v1,83179,16,2309
Pillbox_1,82138,24,3947
RailroadGate,77192,3,0
RegistroDiCassav4,79459,3,0
SiGistica,79350,0,0
SIS,0,50,1066
SmartHome,0,26,0
Stufa,78079,3,0
TrafficLightv2,75550,2,0
