asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios,n_val_error_scenarios
ATM,10,21,17,evoavalla,137975,2,15,7,102,0.6,0.2857143,0.1764706,0,0
ATM,10,21,17,random,2,2,15,14,47,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,evoavalla,95975,1,1,0,0,1.0,0.21428572,0.2857143,0,0
CashPoint,5,7,7,random,0,1,2,0,4,1.0,0.5,0.2857143,0,0
CashRegister,8,12,22,evoavalla,76020,4,6,9,30,0.75,0.8333333,0.59090906,0,0
CashRegister,8,12,22,random,1,4,8,8,11,0.75,0.75,0.4090909,0,0
CoffeeVendingMachine,2,6,2,evoavalla,74111,4,4,3,32,1.0,0.75,1.0,0,0
CoffeeVendingMachine,2,6,2,random,0,4,8,7,16,1.0,0.5,1.0,0,0
CoffeeVendingMachine,2,6,2,atgt,407,7,47,71,108,1.0,1.0,1.0,0,0
Counter,5,4,4,evoavalla,73259,2,2,1,0,0.4,0.375,0.25,0,0
Counter,5,4,4,random,0,2,4,2,2,0.4,0.375,0.25,0,0
Counter,5,4,4,atgt,346,1,1001,1001,1111,1.0,1.0,1.0,0,0
DiceGame,1,4,9,evoavalla,74753,2,2,4,16,1.0,0.5,0.6666667,0,0
DiceGame,1,4,9,random,0,2,4,4,10,1.0,0.5,0.44444445,0,0
GuessBigNumber,1,3,5,evoavalla,74227,1,1,0,0,1.0,0.5,0.4,0,0
GuessBigNumber,1,3,5,random,1,1,2,1,3,1.0,0.5,0.4,0,0
GuessBigNumber,1,3,5,atgt,266,4,10,9,20,1.0,0.5,0.4,4,0
IntegerTrain,7,9,17,random,467,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,evoavalla,80494,4,9,9,91,1.0,0.33333334,0.31578946,0,0
LandingGearSystem,4,9,38,random,1,4,10,9,31,1.0,0.33333334,0.15789473,0,0
LandingGearSystem,4,9,38,atgt,1858,22,118,268,644,1.0,0.5555556,0.47368422,16,0
Lift,1,6,7,evoavalla,72388,2,6,3,16,1.0,0.8333333,1.0,0,0
Lift,1,6,7,random,1,2,6,4,12,1.0,0.75,0.71428573,0,0
Lift,1,6,7,atgt,232,7,11,11,17,1.0,0.8333333,1.0,1,0
PhdMaster,4,3,52,evoavalla,80780,24,52,51,128,1.0,1.0,1.0,0,0
PhdMaster,4,3,52,random,3,24,58,34,84,0.75,0.8333333,0.26923078,0,0
PhdMaster,4,3,52,atgt,2346,34,75,75,126,1.0,1.0,1.0,0,0
SafeCombination,1,3,3,evoavalla,72024,2,2,2,2,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.8333333,0.6666667,0,0
SafeCombination,1,3,3,atgt,103,3,11,11,11,1.0,1.0,1.0,0,0
SiGistica,7,5,6,evoavalla,75053,4,5,6,54,1.0,0.6,1.0,0,0
SiGistica,7,5,6,random,0,4,8,8,12,0.85714287,0.5,0.8333333,0,0
Stove,10,11,18,evoavalla,74653,1,1,0,10,0.5,0.27272728,0.11111111,0,0
Stove,10,11,18,random,1,1,2,2,2,0.5,0.27272728,0.11111111,0,0
Tcas,1,20,20,evoavalla,76298,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random,28,5,25,280,20,1.0,0.775,0.55,0,0
Tcas,1,20,20,atgt,385,10,10,140,10,1.0,1.0,1.0,0,0
ATM,10,21,17,random100,165,5,500,495,1510,0.6,0.2857143,0.1764706,0,0
CashPoint,5,7,7,random100,645,5,500,494,25,1.0,0.5,0.2857143,4,0
CashRegister,8,12,22,random100,41,5,500,23,1182,1.0,0.9583333,0.90909094,0,0
CoffeeVendingMachine,2,6,2,random100,55,5,500,365,640,1.0,1.0,1.0,0,0
Counter,5,4,4,random100,71,5,500,495,899,0.6,0.625,0.5,0,0
DiceGame,1,4,9,random100,173,5,500,888,1813,1.0,0.875,0.8888889,0,0
GuessBigNumber,1,3,5,random100,151,5,500,50,995,1.0,0.8333333,0.6,0,0
IntegerTrain,7,9,17,random100,3,0,0,0,0,0.0,0.0,0.0,0,0
LandingGearSystem,4,9,38,random100,2084,5,500,725,2700,1.0,0.9444444,0.8684211,0,0
Lift,1,6,7,random100,42,5,500,495,997,1.0,0.8333333,1.0,0,0
PhdMaster,4,3,52,random100,47,5,500,495,993,1.0,1.0,0.7307692,0,0
SafeCombination,1,3,3,random100,67,5,500,495,500,1.0,0.8333333,0.6666667,0,0
SiGistica,7,5,6,random100,74,5,500,545,1128,1.0,0.7,1.0,0,0
Stove,10,11,18,random100,4,0,0,0,0,0.0,0.0,0.0,0,0
Tcas,1,20,20,random100,908,5,500,6930,495,1.0,1.0,1.0,0,0
