AsmSpec,EvoAvalla,Random,Atgt
Ascensore,78122,41,715
ATM3v2,0,70,0
CashPoint,80973,11,0
Cassaforte,0,32,0
Certifier_nochoose_noundef,81312,46,4816
CoffeeVendingMachineNC,74888,12,0
Contatore_U_DA_H,74242,1,0
Dado,76965,3,0
Ferryman,74548,4,0
Forno,74080,3,259
LIFT,0,291,0
Phd_master_flat2_v1,84047,26,2402
Pillbox_1,77495,10,3032
RailroadGate,74369,3,0
RegistroDiCassav4,77069,8,0
SiGistica,76118,6,0
SIS,0,36,822
SmartHome,0,42,0
Stufa,75859,0,0
TrafficLightv2,73889,7,0
