AsmSpec,EvoAvalla,Random,Atgt
Ascensore,78797,40,655
ATM3v2,0,125,0
CashPoint,87541,29,0
Cassaforte,0,52,0
Certifier_nochoose_noundef,84524,169,5472
CoffeeVendingMachineNC,75354,15,0
Contatore_U_DA_H,74278,12,0
Dado,74342,5,0
Ferryman,75072,4,0
Forno,74328,9,313
LIFT,0,266,0
Phd_master_flat2_v1,82610,178,3174
Pillbox_1,80753,9,3539
RailroadGate,74532,3,0
RegistroDiCassav4,78052,25,0
SiGistica,77491,6,0
SIS,0,38,788
SmartHome,0,24,0
Stufa,75928,1,0
TrafficLightv2,74060,5,0
