asm_path;asm_name;n_macro;n_update;n_forall;n_branch;n_rule;approach;status;exec_time_ms;n_scenarios;n_step;n_set;n_check;macro_coverage;update_rule_coverage;forall_rule_coverage;branch_coverage;rule_coverage;n_failing_scenarios;n_val_error_scenarios;casemutator_score;chooserulemutator_score;condnegator_score;condremover_score;forallmutator_score;partoseqmutator_score;seqtoparmutator_score;ruleremover_score
../../../asm_examples/examples/landingGearSystem/LGS_GM_withError.asm;LGS_GM_withError;4;15;0;3;22;evoavalla;OK;67083.0;6;30;12;72;1.0;1.0;NaN;1.0;1.0;0;0;1.0;NaN;1.0;1.0;NaN;NaN;NaN;1.0
../../../asm_examples/examples/hemodialysisDevice/SCP2017/HemodialysisGround.asm;HemodialysisGround;5;2;0;3;11;evoavalla;OK;65507.0;1;3;0;4;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;0.6666667;0.6666667;NaN;1.0;NaN;0.8
../../../asm_examples/PHD/phd_master_flat2_v0.asm;phd_master_flat2_v0;27;52;0;26;131;evoavalla;OK;70693.0;24;52;51;128;1.0;0.78846157;NaN;1.0;1.0;0;0;NaN;NaN;1.0;1.0;NaN;0.037037037;NaN;0.9160305
../../../asm_examples/examples/simple_example/AdvancedClockDeciSecond.asm;AdvancedClockDeciSecond;2;4;0;3;11;evoavalla;OK;66283.0;1;10;0;0;0.5;0.5;NaN;0.5;0.54545456;0;0;NaN;NaN;0.0;0.0;NaN;0.0;NaN;0.0
../../../asm_examples/examples/landingGearSystem/LGS_EV_v2.asm;LGS_EV_v2;4;38;0;3;60;evoavalla;OK;67912.0;7;33;14;280;1.0;1.0;NaN;1.0;1.0;0;0;1.0;NaN;1.0;1.0;NaN;0.0;NaN;1.0
../../../asm_examples/examples/landingGearSystem/LGS_SE.asm;LGS_SE;4;38;0;9;66;evoavalla;OK;68931.0;7;33;29;280;1.0;1.0;NaN;0.6666667;1.0;0;0;1.0;NaN;1.0;0.5;NaN;0.0;NaN;1.0
../../../asm_examples/PHD/phd_master_flat2_v2.asm;phd_master_flat2_v2;64;144;0;67;338;evoavalla;OK;88748.0;49;110;107;587;1.0;0.6319444;NaN;0.8955224;0.8964497;0;0;NaN;NaN;0.9701493;0.9402985;NaN;0.015625;NaN;0.74852073
../../../asm_examples/examples/simple_example/AdvancedClock2.asm;AdvancedClock2;2;3;0;3;9;evoavalla;OK;66204.0;2;10;1;0;1.0;1.0;NaN;1.0;1.0;0;0;NaN;NaN;0.0;0.0;NaN;0.0;NaN;0.0
../../../asm_examples/stereoacuity/certifierRaff1.asm;certifierRaff1;13;15;0;9;43;evoavalla;OK;67809.0;5;15;6;102;1.0;0.8;NaN;1.0;1.0;0;0;NaN;NaN;1.0;1.0;NaN;0.0;NaN;0.9302326
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight3/TrafficLight_3.asm;TrafficLight_3;14;35;0;23;88;evoavalla;OK;69272.0;4;14;12;108;1.0;0.9714286;NaN;0.7826087;1.0;0;0;NaN;NaN;1.0;0.29166666;NaN;0.0625;NaN;0.9886364
../../../asm_examples/examples/TrafficLightYakindu/TrafficLight_NOREF/TrafficLight_4.asm;TrafficLight_4;10;25;0;18;80;evoavalla;OK;67522.0;1;1;0;12;0.8;0.36;NaN;0.44444445;0.5625;3;0;NaN;NaN;0.2777778;0.2777778;NaN;0.0;NaN;0.0
../../../asm_examples/examples/traffic_light/oneWayTrafficLightOnlyPassedFlat.asm;oneWayTrafficLightOnlyPassedFlat;5;12;0;5;26;evoavalla;OK;66162.0;1;4;1;25;1.0;1.0;NaN;0.9;1.0;0;1;NaN;NaN;1.0;0.8;NaN;0.2;NaN;1.0
