asm_path,asm_name,n_macro,n_update,n_forall,n_branch,n_rule,approach,status,exec_time_ms,n_scenarios,n_step,n_set,n_check,macro_coverage,update_rule_coverage,forall_rule_coverage,branch_coverage,rule_coverage,n_failing_scenarios,n_val_error_scenarios,casemutator_score,chooserulemutator_score,condnegator_score,condremover_score,forallmutator_score,partoseqmutator_score,seqtoparmutator_score,ruleremover_score
../../../asm_examples/examples/production_cell/robot.asm,robot,13,16,1,13,46,random,OK,0.0,10,100,0,0,0.07692308,0.0,0.33333334,0.03846154,0.02173913,0,0,NaN,NaN,0.0,0.0,0.0,NaN,0.0,0.0
../../../asm_examples/examples/ermts_etcs/scenarios/ertms_hl3_scenario4.asm,ertms_hl3_scenario4,31,121,32,101,307,random,NO_VALID_SCENARIOS,3871.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/traffic_light/forAsmetaSMV/oneWayTrafficLight.asm,oneWayTrafficLight,7,5,0,8,29,random,OK,11.0,10,100,58,242,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,0.16666667,NaN,1.0
../../../asm_examples/examples/landingGearSystem/LGS_EV.asm,LGS_EV,4,38,0,3,60,random,OK,183.0,10,100,100,490,1.0,1.0,NaN,1.0,1.0,0,0,1.0,NaN,1.0,1.0,NaN,0.0,NaN,1.0
../../../asm_examples/examples/RushHour/RushHourMonSimplForAsmetaSMV.asm,RushHourMonSimplForAsmetaSMV,2,2,1,5,10,random,OK,175.0,10,100,200,466,1.0,1.0,0.33333334,0.8,1.0,0,0,NaN,NaN,1.0,0.5,1.0,0.0,NaN,1.0
../../../asm_examples/DAS/TrafficMonitoringSystem/validation/mainForModelCheckingNoSelfHealerNoFailures.asm,mainForModelCheckingNoSelfHealerNoFailures,22,28,6,32,129,random,NO_VALID_SCENARIOS,175.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/sultanSuccessors/sultan.asm,sultan,3,7,0,4,15,random,NO_VALID_SCENARIOS,53.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/RushHour/RushHourSimplForAsmetaSMV.asm,RushHourSimplForAsmetaSMV,2,2,1,5,9,random,NO_VALID_SCENARIOS,438.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/ermts_etcs/scenarios/ertms_hl3_scenario2.asm,ertms_hl3_scenario2,30,126,34,108,321,random,NO_VALID_SCENARIOS,2504.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/RTPatternLibrary/Application/CompleteApplication.asm,CompleteApplication,3,1,0,2,51,random,NO_VALID_SCENARIOS,403.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
