asm,n_macro,n_conditional,n_update,approach,exec_time,n_scenarios,n_step,n_set,n_check,macro_coverage,branch_coverage,update_rule_coverage,n_failing_scenarios
Ascensore,1,6,7,evoavalla,78699,2,6,3,16,1.0,0.8333333,1.0,0
Ascensore,1,6,7,random,25,2,6,4,12,1.0,0.75,0.71428573,0
Ascensore,1,6,7,atgt,848,7,11,11,17,1.0,0.8333333,1.0,0
ATM3v2,10,21,17,evoavalla,141690,3,11,5,90,0.6,0.4047619,0.29411766,0
ATM3v2,10,21,17,random,31,3,11,8,33,0.6,0.2857143,0.1764706,0
CashPoint,5,7,7,evoavalla,77973,1,1,0,0,1.0,0.2857143,0.2857143,2
CashPoint,5,7,7,random,5,1,2,0,4,1.0,0.5,0.2857143,2
CoffeeVendingMachineNC,2,6,2,evoavalla,74535,4,4,3,32,1.0,0.75,1.0,0
CoffeeVendingMachineNC,2,6,2,random,6,4,8,8,13,1.0,0.6666667,1.0,0
CoffeeVendingMachineNC,2,6,2,atgt,802,7,47,71,108,1.0,1.0,1.0,0
Contatore_U_DA_H,5,4,4,evoavalla,74446,2,2,1,0,0.4,0.375,0.25,0
Contatore_U_DA_H,5,4,4,random,0,2,4,2,4,0.4,0.25,0.25,0
Contatore_U_DA_H,5,4,4,atgt,974,1,1001,1001,1111,1.0,1.0,1.0,0
Dado,1,4,9,evoavalla,74698,2,2,4,17,1.0,0.5,0.6666667,0
Dado,1,4,9,random,2,2,4,4,12,1.0,0.5,0.6666667,0
Ferryman,3,4,5,evoavalla,74627,2,4,1,30,1.0,0.5,0.4,2
Ferryman,3,4,5,random,5,2,3,2,10,1.0,0.75,0.8,0
GuessBigNumber,1,2,3,random,531,5,25,20,45,1.0,0.5,0.33333334,0
Integer_train,7,9,17,random,29,0,0,0,0,0.0,0.0,0.0,0
LGS_3L,4,9,38,evoavalla,80163,5,13,20,126,1.0,0.3888889,0.47368422,0
LGS_3L,4,9,38,random,8,5,14,9,39,1.0,0.22222222,0.15789473,0
LGS_3L,4,9,38,atgt,2450,22,118,268,644,0.0,0.0,0.0,0
Phd_master_flat2_v1,4,3,52,evoavalla,81547,24,52,51,128,1.0,1.0,1.0,0
Phd_master_flat2_v1,4,3,52,random,13,24,58,34,82,0.75,0.8333333,0.26923078,0
Phd_master_flat2_v1,4,3,52,atgt,2866,34,75,75,126,1.0,1.0,1.0,0
QuickSort,1,0,1,random,57,5,25,0,20,0.0,NaN,0.0,0
RegistroDiCassav4,8,12,22,evoavalla,77513,4,6,9,30,0.75,0.8333333,0.59090906,0
RegistroDiCassav4,8,12,22,random,2,4,8,5,9,0.75,0.6666667,0.3181818,0
SafeCombination,1,3,3,evoavalla,72621,2,2,2,2,1.0,0.8333333,0.6666667,0
SafeCombination,1,3,3,random,0,2,4,2,4,1.0,0.5,0.33333334,0
SafeCombination,1,3,3,atgt,130,3,11,11,11,1.0,1.0,1.0,0
SiGistica,7,5,6,evoavalla,76850,4,5,6,54,1.0,0.6,1.0,0
SiGistica,7,5,6,random,2,4,8,6,16,0.85714287,0.5,0.8333333,0
SmartHome,24,34,25,random,24,5,25,32,390,0.29166666,0.1764706,0.28,5
Stufa,10,11,18,evoavalla,76337,1,1,0,10,0.5,0.27272728,0.11111111,0
Stufa,10,11,18,random,1,1,2,2,2,0.5,0.27272728,0.11111111,0
SwapSortOnSeq,1,0,1,random,26,5,25,0,25,0.0,NaN,0.0,0
Tcas,1,20,20,evoavalla,75189,6,6,72,0,1.0,0.6,0.3,0
Tcas,1,20,20,random,27,6,12,84,6,1.0,0.775,0.6,0
Tcas,1,20,20,atgt,538,10,10,140,10,1.0,1.0,1.0,10
TrafficLightv2,5,5,14,evoavalla,73692,2,31,2,66,1.0,1.0,1.0,0
TrafficLightv2,5,5,14,random,1,2,31,3,62,0.8,0.7,0.64285713,0
TrafficLightv2,5,5,14,atgt,290,7,77,19,152,1.0,0.9,0.85714287,1
