AsmSpec,EvoAvalla,Random,Atgt
Ascensore,81784,54,873
ATM3v2,0,128,0
CashPoint,97310,14,0
Cassaforte,0,45,0
Certifier_nochoose_noundef,80827,29,4662
CoffeeVendingMachineNC,75465,14,0
Contatore_U_DA_H,73299,1,0
Dado,74132,42,0
Ferryman,73841,1,0
Forno,73220,4,278
LIFT,0,208,0
Phd_master_flat2_v1,81167,90,2487
Pillbox_1,79766,9,3613
RailroadGate,78054,12,0
RegistroDiCassav4,80592,2,0
SiGistica,79917,5,0
SIS,0,92,721
SmartHome,0,28,0
Stufa,78867,0,0
TrafficLightv2,76754,17,0
