AsmSpec,EvoAvalla,Random,Atgt
Ascensore,80163,35,610
ATM3v2,143683,22,0
CashPoint,134726,13,0
Cassaforte,0,40,0
Certifier_nochoose_noundef,83353,103,4715
CoffeeVendingMachineNC,75515,6,0
Contatore_U_DA_H,75327,5,0
Dado,75749,4,0
Ferryman,75914,15,0
Forno,73687,3,344
LIFT,0,230,0
Phd_master_flat2_v1,83068,20,2395
Pillbox_1,76983,15,3230
RailroadGate,74114,2,0
RegistroDiCassav4,77495,2,0
SiGistica,76574,15,0
SIS,0,31,953
SmartHome,0,31,0
Stufa,76402,0,0
TrafficLightv2,73681,5,0
