execution_id,asm_name,rule_signature,tot_conditional_rules,covered_true_conditional_rules,covered_false_conditional_rules,tot_update_rules,covered_update_rules,failing_scenarios
aggregate_values_Pillbox_1,Pillbox_1,r_takeInTimeout(),1,0.5,0.0,3,1.5,none
aggregate_values_Pillbox_1,Pillbox_1,r_timeOutExpired_drawerOpened(),0,0.0,0.0,5,4.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_pillToBeTaken(),1,1.0,0.0,3,3.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_writeToFile(),0,0.0,0.0,0,0.0,none
aggregate_values_RailroadGate,RailroadGate,r_Main(),2,0.9,1.2,4,2.1,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_altraPizzaSelezionata(),1,0.1,1.0,1,0.0,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_scegliSeAggiungerePizza(),3,2.5,2.5,4,3.0,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_pizzaStandardSelezionata(),2,0.2,1.2,4,0.4,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_attendiOrdinazioni(),3,3.0,3.0,5,5.0,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_scegliTipoDiPizza(),3,1.0,2.2,4,0.6,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_SiGistica,SiGistica,r_rifornimento(),0,0.0,0.0,1,0.9,none
aggregate_values_SiGistica,SiGistica,r_pagamento(),1,0.5,0.0,1,0.5,none
aggregate_values_SiGistica,SiGistica,r_info(),1,1.0,0.0,1,1.0,none
aggregate_values_SiGistica,SiGistica,r_officina(UffLog),3,1.8,1.8,2,1.8,none
aggregate_values_SiGistica,SiGistica,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_SiGistica,SiGistica,r_autista(),0,0.0,0.0,1,0.9,none
aggregate_values_SiGistica,SiGistica,r_choosePag(),0,0.0,0.0,0,0.0,none
aggregate_values_SIS,SIS,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_SIS,SIS,r_1(),1,0.7,1.0,1,0.7,none
aggregate_values_SIS,SIS,r_wp(),2,1.0,2.0,3,2.0,none
aggregate_values_SIS,SIS,r_4(),1,0.2,1.0,2,0.4,none
aggregate_values_SIS,SIS,r_5(),1,1.0,1.0,1,1.0,none
aggregate_values_SIS,SIS,r_2(),1,0.5,1.0,2,1.0,none
aggregate_values_SIS,SIS,r_3(),1,0.3,1.0,1,0.3,none
aggregate_values_SIS,SIS,r_6(),1,1.0,1.0,1,1.0,none
aggregate_values_SIS,SIS,r_7(),2,2.0,1.6,2,2.0,none
aggregate_values_SmartHome,SmartHome,r_Main(),2,2.0,0.0,1,1.0,none
aggregate_values_SmartHome,SmartHome,r_checkHotWaterMorningMAPE_MWH(),1,1.0,0.0,1,1.0,none
aggregate_values_SmartHome,SmartHome,r_checkRoomTempMAPE_CH(),2,1.3,2.0,3,2.3,none
aggregate_values_SmartHome,SmartHome,r_checkWindowAndHeaterMAPE_MD(),1,0.0,1.0,1,0.0,none
aggregate_values_SmartHome,SmartHome,r_checkElectrMAPE_ES(),3,0.0,1.0,2,0.0,none
aggregate_values_SmartHome,SmartHome,r_checkAirQualityMAPE_AQ(),1,1.0,1.0,2,2.0,none
aggregate_values_SmartHome,SmartHome,r_manageTime(),1,1.0,1.0,3,1.0,none
aggregate_values_Stufa,Stufa,r_avvio_ventola_fumi(),2,0.0,1.0,1,0.0,none
aggregate_values_Stufa,Stufa,r_diminuisci_timer_pellet(),3,0.0,3.0,6,2.0,none
aggregate_values_Stufa,Stufa,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_Stufa,Stufa,r_accensione_fiamma(),2,0.0,1.0,1,0.0,none
aggregate_values_Stufa,Stufa,r_inizio_accensione(),1,0.0,1.0,1,0.0,none
aggregate_values_TrafficLightv2,TrafficLightv2,r_green(),2,1.0,1.6,5,2.8,none
aggregate_values_TrafficLightv2,TrafficLightv2,r_pending(),1,1.0,1.0,3,3.0,none
aggregate_values_TrafficLightv2,TrafficLightv2,r_red(),1,1.0,1.0,3,3.0,none
aggregate_values_TrafficLightv2,TrafficLightv2,r_Main(),0,0.0,0.0,0,0.0,none
aggregate_values_Pillbox_1,Pillbox_1,r_timeOutExpired_missedPill(),0,0.0,0.0,5,3.0,none
aggregate_values_Certifier_nochoose_noundef,Certifier_nochoose_noundef,r_rightAnswLoop(),1,0.1,0.0,2,0.1,none
aggregate_values_Ferryman,Ferryman,r_MoveFerryman(),1,0.3,0.3,2,0.6,none
aggregate_values_Ferryman,Ferryman,r_ferrymanProblem(),1,0.0,0.3,1,0.0,none
aggregate_values_Ferryman,Ferryman,r_MoveCarry(),2,0.6,0.4,2,0.6,none
aggregate_values_Phd_master_flat2_v1,Phd_master_flat2_v1,r_Disassociating(),0,0.0,0.0,20,0.4,none
aggregate_values_RegistroDiCassav4,RegistroDiCassav4,r_aggiungiAlTotale(),0,0.0,0.0,2,0.1,none
