AsmSpec,EvoAvalla,Random,Atgt
Ascensore,85064,45,582
ATM3v2,0,250,0
CashPoint,87576,14,0
Cassaforte,0,54,0
Certifier_nochoose_noundef,83698,63,4576
CoffeeVendingMachineNC,77689,27,0
Contatore_U_DA_H,74867,1,0
Dado,75818,8,0
Ferryman,76010,13,0
Forno,74678,3,455
LIFT,0,261,0
Phd_master_flat2_v1,84071,39,2489
Pillbox_1,78334,26,3132
RailroadGate,75141,2,0
RegistroDiCassav4,78673,1,0
SiGistica,78973,20,0
SIS,0,29,962
SmartHome,0,28,0
Stufa,75851,0,0
TrafficLightv2,75280,22,0
