AsmSpec,EvoAvalla,Random,Atgt
Ascensore,91456,44,729
ATM3v2,102335,27,0
CashPoint,79290,11,0
Cassaforte,0,27,0
Certifier_nochoose_noundef,82689,26,4851
CoffeeVendingMachineNC,75066,6,0
Contatore_U_DA_H,74256,1,0
Dado,75394,11,0
Ferryman,81854,4,0
Forno,75992,12,354
LIFT,0,302,0
Phd_master_flat2_v1,86389,15,3122
Pillbox_1,79884,15,3420
RailroadGate,79324,5,0
RegistroDiCassav4,79735,16,0
SiGistica,79657,7,0
SIS,0,46,1042
SmartHome,0,27,0
Stufa,78470,6,0
TrafficLightv2,78021,3,0
